Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,highway MPG,city mpg,Age,MSRP
1.0,335.0,6.0,2,1,2.0,1,26,19,6,46135
1.0,300.0,6.0,2,1,2.0,1,28,19,6,40650
1.0,300.0,6.0,2,1,2.0,1,28,20,6,36350
1.0,230.0,6.0,2,1,2.0,1,28,18,6,29450
1.0,230.0,6.0,2,1,2.0,1,28,18,6,34500
1.0,230.0,6.0,2,1,2.0,1,28,18,5,31200
1.0,300.0,6.0,2,1,2.0,1,26,17,5,44100
1.0,300.0,6.0,2,1,2.0,1,28,20,5,39300
1.0,230.0,6.0,2,1,2.0,1,28,18,5,36900
1.0,230.0,6.0,2,1,2.0,1,27,18,4,37200
1.0,300.0,6.0,2,1,2.0,1,28,20,4,39600
1.0,300.0,6.0,2,1,2.0,1,28,19,4,44400
1.0,230.0,6.0,2,1,2.0,1,28,19,4,37200
1.0,320.0,6.0,2,1,2.0,1,25,18,4,48250
1.0,320.0,6.0,2,1,2.0,1,28,20,4,43550
2.0,172.0,6.0,1,2,4.0,2,20,16,25,2000
2.0,172.0,6.0,2,2,4.0,2,21,16,25,2000
2.0,172.0,6.0,1,2,4.0,2,20,16,24,2000
2.0,172.0,6.0,2,2,4.0,2,21,16,24,2000
2.0,172.0,6.0,1,3,4.0,2,21,16,23,2000
2.0,172.0,6.0,2,2,4.0,2,22,16,23,2000
2.0,172.0,6.0,2,3,4.0,2,22,17,23,2000
2.0,172.0,6.0,1,3,4.0,2,22,16,23,2000
2.0,172.0,6.0,1,2,4.0,2,21,16,23,2000
3.0,160.0,4.0,2,1,2.0,1,35,26,0,27495
3.0,160.0,4.0,2,1,2.0,1,35,26,0,24995
3.0,160.0,4.0,2,1,2.0,1,35,26,0,28195
2.0,130.0,4.0,2,1,4.0,1,26,18,26,2000
2.0,158.0,6.0,2,1,4.0,1,25,17,26,2000
2.0,158.0,6.0,2,1,4.0,1,25,17,25,2000
2.0,130.0,4.0,2,1,4.0,1,26,18,25,2000
2.0,130.0,4.0,2,1,4.0,1,26,18,24,2000
2.0,158.0,6.0,2,1,4.0,1,25,17,24,2000
1.0,240.0,4.0,1,1,2.0,1,35,23,1,32850
