Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,highway MPG,city mpg,MSRP,Age
1,335.0,6.0,2,1,2.0,1,26,19,46135,6
1,300.0,6.0,2,1,2.0,1,28,19,40650,6
1,300.0,6.0,2,1,2.0,1,28,20,36350,6
1,230.0,6.0,2,1,2.0,1,28,18,29450,6
1,230.0,6.0,2,1,2.0,1,28,18,34500,6
1,230.0,6.0,2,1,2.0,1,28,18,31200,5
1,300.0,6.0,2,1,2.0,1,26,17,44100,5
1,300.0,6.0,2,1,2.0,1,28,20,39300,5
1,230.0,6.0,2,1,2.0,1,28,18,36900,5
1,230.0,6.0,2,1,2.0,1,27,18,37200,4
1,300.0,6.0,2,1,2.0,1,28,20,39600,4
1,300.0,6.0,2,1,2.0,1,28,19,44400,4
1,230.0,6.0,2,1,2.0,1,28,19,37200,4
1,320.0,6.0,2,1,2.0,1,25,18,48250,4
1,320.0,6.0,2,1,2.0,1,28,20,43550,4
2,172.0,6.0,1,2,4.0,2,20,16,2000,25
2,172.0,6.0,2,2,4.0,2,21,16,2000,25
2,172.0,6.0,1,2,4.0,2,20,16,2000,24
2,172.0,6.0,2,2,4.0,2,21,16,2000,24
2,172.0,6.0,1,3,4.0,2,21,16,2000,23
2,172.0,6.0,2,2,4.0,2,22,16,2000,23
2,172.0,6.0,2,3,4.0,2,22,17,2000,23
2,172.0,6.0,1,3,4.0,2,22,16,2000,23
2,172.0,6.0,1,2,4.0,2,21,16,2000,23
3,160.0,4.0,2,1,2.0,1,35,26,27495,0
3,160.0,4.0,2,1,2.0,1,35,26,24995,0
3,160.0,4.0,2,1,2.0,1,35,26,28195,0
2,130.0,4.0,2,1,4.0,1,26,18,2000,26
2,158.0,6.0,2,1,4.0,1,25,17,2000,26
2,158.0,6.0,2,1,4.0,1,25,17,2000,25
2,130.0,4.0,2,1,4.0,1,26,18,2000,25
2,130.0,4.0,2,1,4.0,1,26,18,2000,24
2,158.0,6.0,2,1,4.0,1,25,17,2000,24
1,240.0,4.0,1,1,2.0,1,35,23,32850,1
1,240.0,4.0,1,1,2.0,1,34,23,38650,1
1,320.0,6.0,1,1,2.0,1,31,20,48750,1
1,240.0,4.0,1,2,2.0,1,35,23,34850,1
1,240.0,4.0,1,2,2.0,1,34,22,40650,1
1,320.0,6.0,1,1,2.0,1,31,20,44150,1
1,240.0,4.0,2,1,2.0,1,34,22,32850,1
1,320.0,6.0,1,2,2.0,1,30,20,46150,1
1,320.0,6.0,1,1,2.0,1,30,20,50750,1
3,335.0,6.0,1,2,2.0,1,31,21,46450,0
3,335.0,6.0,1,1,2.0,1,32,21,49050,0
3,335.0,6.0,1,2,2.0,1,32,21,51050,0
3,335.0,6.0,1,1,2.0,1,32,21,44450,0
3,248.0,4.0,1,1,2.0,1,34,23,38950,0
3,248.0,4.0,1,1,2.0,1,35,24,33150,0
3,248.0,4.0,1,2,2.0,1,33,24,35150,0
3,248.0,4.0,1,2,2.0,1,33,23,40950,0
2,162.0,5.0,1,3,4.0,2,20,16,2000,27
2,162.0,5.0,2,2,4.0,2,22,15,2000,27
2,162.0,5.0,2,2,4.0,2,23,15,2000,27
2,217.0,5.0,2,2,4.0,2,22,16,2000,26
2,217.0,5.0,2,2,4.0,2,22,16,2000,26
2,162.0,5.0,1,3,4.0,2,20,16,2000,26
4,184.0,4.0,1,3,4.0,2,36,23,25170,2
4,184.0,4.0,1,3,4.0,2,36,23,23950,2
4,295.0,6.0,1,2,4.0,2,29,18,29370,2
4,184.0,4.0,1,3,4.0,2,36,23,21995,2
4,184.0,4.0,1,3,4.0,2,36,23,26625,2
4,295.0,6.0,1,2,4.0,2,29,18,30825,2
4,184.0,4.0,1,3,4.0,2,36,23,21995,1
4,184.0,4.0,1,3,4.0,2,36,23,27795,1
4,295.0,6.0,1,2,4.0,2,29,18,31785,1
4,295.0,6.0,1,2,4.0,2,29,18,29905,1
4,184.0,4.0,1,3,4.0,2,36,23,22490,1
4,184.0,4.0,1,3,4.0,2,36,23,27570,1
4,184.0,4.0,1,3,4.0,2,36,23,25690,1
4,184.0,4.0,1,3,4.0,2,36,23,24490,1
4,295.0,6.0,1,2,4.0,2,28,18,29905,0
4,295.0,6.0,1,2,4.0,2,28,18,31785,0
4,184.0,4.0,1,3,4.0,2,36,23,26685,0
4,184.0,4.0,1,3,4.0,2,36,23,22490,0
4,184.0,4.0,1,3,4.0,2,36,23,25690,0
4,295.0,6.0,1,2,4.0,2,28,18,30900,0
4,184.0,4.0,1,3,4.0,2,36,23,27795,0
4,184.0,4.0,1,3,4.0,2,36,23,21995,0
4,184.0,4.0,1,3,4.0,2,36,23,24490,0
2,140.0,4.0,2,3,2.0,1,29,21,2000,21
2,140.0,4.0,2,3,2.0,1,29,21,2000,20
2,140.0,4.0,2,3,2.0,1,28,20,2073,19
2,155.0,4.0,2,1,2.0,1,26,19,3713,21
2,155.0,4.0,2,1,2.0,1,26,19,3520,21
2,155.0,4.0,2,1,2.0,1,26,19,3910,20
2,155.0,4.0,2,1,2.0,1,26,19,4182,20
2,155.0,4.0,2,1,2.0,1,26,19,4107,20
2,155.0,4.0,2,1,2.0,1,25,20,4299,19
2,155.0,4.0,2,1,2.0,1,25,20,4693,19
2,155.0,4.0,2,1,2.0,1,25,20,4107,19
2,114.0,4.0,2,1,4.0,2,26,19,2000,26
2,114.0,4.0,1,1,4.0,2,23,18,2000,26
2,114.0,4.0,2,1,4.0,2,26,19,2000,26
2,114.0,4.0,2,1,4.0,2,26,19,2000,25
